words,links,capital_words,spam_word_count,is_spam
195,1,0,0,0
76,5,0,2,0
305,1,5,7,1
129,1,1,2,0
236,2,1,2,0
116,9,28,9,1
665,2,23,0,1
299,1,8,2,0
288,5,1,2,0
507,0,21,8,1
577,6,1,5,1
126,4,1,7,1
28,1,2,2,0
179,0,3,0,0
937,3,20,4,1
177,0,3,4,0
255,1,0,1,0
440,3,25,0,1
344,8,14,4,1
137,2,2,2,0
174,5,6,2,0
288,3,6,1,0
573,10,30,3,1
178,2,18,5,1
35,2,3,0,0
407,10,10,3,1
90,2,21,6,1
255,2,1,2,0
21,0,1,1,0
357,6,15,7,1
98,0,8,1,0
318,9,12,0,1
156,2,1,0,0
179,2,20,0,1
206,1,1,2,0
589,8,20,6,1
160,2,1,2,0
148,1,0,2,0
137,7,18,7,1
647,2,11,1,1
610,1,8,7,1
196,0,1,0,0
221,0,2,1,0
237,1,3,2,0
695,2,0,3,1
91,0,3,0,0
269,0,1,2,0
163,6,23,3,1
402,2,3,2,0
114,10,28,9,1
246,0,1,2,0
172,0,0,6,0
166,2,5,4,1
549,3,22,5,1
155,0,7,0,0
297,0,1,2,0
965,10,10,8,1
226,0,25,8,1
146,4,28,5,1
109,1,3,0,0
578,9,21,10,1
44,0,0,6,0
102,4,27,10,1
151,10,8,1,1
614,9,19,7,1
204,3,1,2,0
146,2,10,2,0
130,0,0,0,0
404,5,10,1,1
508,5,24,8,1
554,0,28,10,1
177,2,13,8,1
298,2,1,6,0
67,4,7,2,0
136,1,3,5,0
456,5,13,2,1
865,2,14,4,1
706,1,6,4,1
122,1,1,1,0
672,5,13,10,1
32,2,3,2,0
62,1,1,2,0
141,1,0,3,1
401,4,20,7,1
928,6,10,9,1
663,8,21,6,1
269,0,3,2,0
207,2,2,2,0
685,3,24,10,1
908,3,10,5,1
918,6,1,5,1
124,9,7,5,1
241,2,10,2,0
214,2,21,10,1
647,3,22,8,1
297,4,21,7,1
158,2,8,3,1
750,3,18,3,1
286,1,7,4,0
158,6,19,1,1
193,2,0,8,1
112,2,6,0,0
40,3,9,0,0
178,7,19,9,1
97,2,6,8,1
59,1,0,1,0
91,3,0,2,0
414,3,26,10,1
104,3,3,8,1
513,5,21,8,1
602,10,16,6,1
277,1,6,4,1
280,0,2,6,0
99,2,2,2,0
438,7,5,6,1
842,2,23,0,1
588,3,11,6,1
159,2,9,2,0
292,5,2,1,0
54,0,3,1,0
334,5,5,9,1
51,1,2,0,0
223,0,0,2,0
208,2,0,2,0
909,8,13,7,1
272,5,20,5,1
66,0,0,2,0
202,3,8,6,1
376,0,7,5,1
101,1,7,7,1
579,3,7,10,1
591,1,18,9,1
433,1,2,2,0
288,5,3,0,0
277,3,0,1,0
193,1,3,1,0
367,2,2,1,0
78,1,3,1,0
498,10,17,7,1
275,0,1,3,0
438,1,3,5,0
723,8,30,6,1
64,3,27,3,1
781,10,3,0,1
148,2,7,1,0
282,1,0,0,0
198,0,2,2,0
153,2,0,4,0
467,8,1,8,1
37,0,1,2,0
250,4,19,5,1
394,8,25,8,1
454,2,0,5,0
30,0,0,2,0
898,2,3,7,1
184,2,3,1,0
720,5,9,3,1
381,1,1,0,0
108,4,16,9,1
875,3,30,8,1
268,2,1,1,0
27,1,2,2,0
466,2,1,0,0
117,2,3,4,0
202,2,0,0,0
237,1,0,1,0
152,2,1,6,0
948,5,26,1,1
168,4,6,0,1
892,5,6,5,1
131,0,2,0,0
491,3,2,2,0
663,6,22,9,1
34,0,0,2,0
60,6,7,8,1
827,1,26,10,1
530,10,21,7,1
290,10,18,0,1
71,1,2,2,0
428,9,5,2,1
363,1,2,0,0
350,6,1,7,1
328,10,30,10,1
274,0,3,1,0
45,0,2,0,0
592,9,26,6,1
943,7,30,4,1
62,10,1,9,1
88,1,5,1,0
451,1,29,10,1
70,7,1,8,1
53,2,16,6,1
183,3,4,3,1
33,1,2,2,0
220,2,0,2,0
714,2,16,9,1
424,10,1,7,1
375,2,0,0,0
620,6,8,0,1
92,2,5,1,1
199,2,2,0,0
480,4,28,9,1
953,8,14,3,1
26,1,3,0,0
197,9,6,3,1
103,0,0,1,0
237,0,7,2,0
151,1,0,6,0
196,0,9,6,1
880,8,24,10,1
431,6,15,9,1
933,6,14,9,1
299,0,2,0,0
51,2,24,3,1
390,6,23,3,1
559,10,21,10,1
852,3,11,6,1
125,3,26,2,1
615,9,7,6,1
55,2,10,5,0
425,1,0,0,0
174,0,4,2,0
159,5,1,2,0
588,7,12,4,1
165,1,1,2,0
228,1,3,2,0
602,6,12,10,1
285,1,2,1,0
256,4,3,8,1
267,2,1,0,0
94,9,7,1,1
183,9,5,9,1
47,0,0,1,0
776,3,30,3,1
53,0,0,1,0
140,8,15,5,1
819,9,15,4,1
269,0,0,0,0
334,3,27,6,1
790,3,24,0,1
219,0,0,2,0
55,4,10,10,1
64,2,0,5,0
495,1,1,3,0
661,4,21,4,1
560,5,17,3,1
163,0,10,2,0
123,0,0,2,0
82,7,28,9,1
162,9,21,4,1
53,3,8,4,1
108,10,20,5,1
92,1,3,1,0
145,1,2,0,0
186,0,4,0,0
300,9,4,6,1
126,0,13,10,1
31,1,0,0,0
226,2,0,1,0
89,5,15,9,1
249,0,3,2,0
372,1,2,2,0
179,2,3,0,0
646,4,5,7,1
130,0,4,2,0
208,2,1,1,0
327,9,11,9,1
174,0,3,6,0
342,1,2,0,0
249,5,2,2,0
476,0,1,2,0
71,2,2,1,0
254,0,0,1,0
53,2,0,2,0
105,10,15,3,1
245,4,16,0,1
897,9,23,10,1
372,9,21,5,1
119,5,23,1,1
259,7,0,5,1
496,2,2,2,0
760,10,9,7,1
652,10,12,6,1
139,8,2,0,1
917,2,17,3,1
60,4,0,0,0
788,3,10,3,1
148,0,1,6,0
183,2,9,0,0
820,3,20,6,1
559,5,28,9,1
206,4,20,6,1
626,7,4,4,1
551,3,29,6,1
909,9,12,7,1
382,1,14,0,1
456,0,5,1,0
180,9,3,10,1
163,2,3,0,0
482,2,0,2,0
49,0,3,2,0
489,1,4,5,1
193,0,0,2,0
418,0,2,2,0
148,0,0,2,0
199,2,8,2,0
202,1,1,1,0
452,4,20,5,1
254,4,18,9,1
196,1,1,2,0
661,7,14,7,1
217,1,2,1,0
158,0,0,5,0
838,2,2,3,1
178,3,1,0,0
212,2,3,1,0
59,1,0,1,0
263,1,3,1,0
215,2,0,1,0
733,3,0,5,1
72,2,17,1,1
91,0,1,0,0
296,2,3,1,0
213,1,3,0,0
873,0,17,8,1
396,4,11,7,1
891,8,5,2,1
497,6,2,4,1
87,0,3,1,0
269,1,8,0,0
220,2,1,1,0
48,2,9,1,0
855,7,22,4,1
813,9,11,0,1
145,2,3,0,0
176,8,24,1,1
233,4,8,2,0
180,5,7,10,1
127,2,26,7,1
131,1,0,1,0
307,9,17,4,1
83,1,0,0,0
217,3,18,9,1
84,2,0,3,1
423,1,0,0,0
86,0,0,1,0
168,4,2,1,0
211,5,3,1,0
275,0,1,0,0
184,6,13,3,1
139,1,0,1,0
160,5,16,5,1
86,5,27,8,1
153,2,10,5,0
200,0,0,2,0
156,2,2,5,0
48,5,9,1,0
125,2,12,3,1
595,3,30,6,1
250,2,3,1,0
140,3,24,8,1
97,0,3,0,0
53,2,2,2,0
296,1,0,1,0
393,7,20,4,1
191,1,1,2,0
496,4,4,0,1
179,0,2,0,0
32,0,3,1,0
142,0,2,0,0
178,0,9,6,0
155,2,8,1,0
160,9,0,3,1
292,1,2,1,0
737,2,22,1,1
188,2,1,2,0
138,0,3,0,0
618,6,20,10,1
33,1,6,1,0
115,6,4,3,1
141,10,29,5,1
267,3,1,6,0
51,5,7,2,0
206,1,1,0,0
995,10,7,9,1
77,5,27,6,1
271,2,4,0,0
94,1,2,0,0
231,1,3,6,0
179,2,10,0,0
741,3,13,10,1
64,9,21,5,1
151,2,2,4,0
124,2,0,2,0
251,3,27,6,1
621,10,28,2,1
117,2,24,5,1
178,2,5,3,1
720,0,30,3,1
181,2,12,2,1
414,4,13,10,1
234,4,25,5,1
866,7,5,8,1
62,1,1,0,0
679,10,7,6,1
224,10,29,10,1
25,2,7,0,0
355,1,27,6,1
283,3,11,9,1
757,9,30,3,1
59,4,1,2,0
159,5,0,2,0
296,10,0,10,1
290,1,2,2,0
249,9,4,6,1
568,8,20,0,1
45,1,2,1,0
639,2,2,5,1
475,2,1,1,0
87,3,0,2,0
336,2,9,9,1
208,2,8,1,0
78,0,1,2,0
123,4,30,8,1
189,0,3,1,0
904,3,5,2,1
123,9,2,3,1
295,2,1,3,0
546,10,10,3,1
869,5,5,3,1
451,2,18,7,1
714,10,19,3,1
238,2,2,1,0
253,0,0,2,0
698,8,14,0,1
435,2,0,1,0
636,7,21,7,1
300,1,3,0,0
414,3,14,3,1
92,0,3,1,0
195,2,0,1,0
209,4,2,4,1
152,3,20,2,1
141,1,1,1,0
210,0,1,1,0
371,0,4,6,1
992,2,7,1,1
353,2,7,5,1
97,4,15,10,1
190,2,0,1,0
164,10,12,9,1
42,2,3,2,0
355,1,4,6,0
874,1,1,5,1
92,6,11,10,1
165,4,3,1,0
138,7,30,3,1
402,3,4,10,1
243,2,2,2,0
476,2,3,3,0
61,8,7,4,1
186,6,7,7,1
761,5,29,7,1
155,2,25,8,1
33,0,1,1,0
134,2,22,9,1
283,0,2,2,0
409,2,15,3,1
859,8,15,0,1
429,7,26,10,1
322,0,2,4,0
250,5,5,2,0
130,0,1,2,0
623,9,5,3,1
240,0,3,5,0
76,3,19,7,1
103,1,3,1,0
754,6,17,9,1
910,9,9,5,1
137,1,3,0,0
430,8,18,6,1
21,0,6,1,0
235,0,1,3,0
292,2,3,0,0
146,0,2,0,0
622,5,1,7,1
206,0,0,4,0
297,9,14,3,1
275,10,28,3,1
489,2,1,0,0
836,1,24,8,1
736,3,3,9,1
302,9,22,8,1
317,5,8,4,1
195,0,0,1,0
278,2,3,1,0
124,9,7,6,1
244,2,1,7,1
270,4,1,1,0
62,0,3,2,0
38,0,0,2,0
37,0,2,0,0
676,4,9,4,1
301,1,9,2,0
127,2,5,2,0
268,0,0,2,0
153,0,3,2,0
283,2,0,1,0
218,1,6,2,0
818,4,11,4,1
88,3,2,2,0
232,0,4,8,1
449,1,3,1,0
188,0,1,0,0
28,1,2,2,0
253,2,0,0,0
496,1,0,0,0
58,9,6,4,1
134,4,3,1,0
251,1,0,0,0
305,2,6,10,1
396,4,16,4,1
906,7,6,1,1
314,9,7,4,1
159,1,0,2,0
983,3,14,5,1
368,1,4,1,0
559,4,19,4,1
350,6,3,5,1
878,7,25,3,1
393,10,5,4,1
223,0,6,0,0
304,1,7,0,0
270,2,2,4,0
39,4,0,1,0
429,9,27,9,1
139,3,21,4,1
35,2,0,2,0
882,9,23,2,1
78,3,3,9,1
156,3,11,6,1
86,2,1,2,0
393,5,8,10,1
264,1,4,1,0
604,5,23,8,1
231,3,9,9,1
76,0,2,2,0
290,4,0,0,0
647,7,22,9,1
151,0,4,2,0
133,0,0,1,0
254,0,3,1,0
265,0,4,3,0
218,2,3,1,0
451,2,5,3,1
196,1,0,6,0
259,0,0,1,0
160,1,2,2,0
186,2,2,2,0
156,2,3,2,0
791,9,27,6,1
269,3,0,1,0
113,4,0,0,0
900,3,13,3,1
278,7,18,10,1
681,7,22,1,1
229,3,24,6,1
231,0,4,2,0
243,2,0,1,0
174,4,7,2,0
283,1,1,1,0
577,4,27,9,1
330,2,0,2,1
217,1,1,2,0
349,10,25,6,1
159,2,1,2,0
338,0,0,0,0
732,6,27,7,1
405,10,14,5,1
46,2,1,0,0
400,10,27,10,1
243,10,23,7,1
269,0,15,5,1
207,2,9,2,0
448,2,11,0,1
311,9,29,3,1
893,1,26,8,1
208,4,1,2,0
297,0,2,2,0
103,1,2,1,0
775,5,12,2,1
248,0,12,6,1
226,2,2,0,0
143,2,1,1,0
694,1,29,5,1
794,2,6,9,1
66,1,3,2,0
863,10,0,7,1
162,2,3,5,0
244,2,1,2,0
133,2,1,0,0
872,10,17,8,1
259,2,0,2,0
184,2,0,6,0
188,2,2,1,0
429,0,3,2,0
888,2,10,0,1
40,1,5,0,0
816,0,28,10,1
159,0,23,0,1
26,4,1,1,0
383,8,0,0,1
359,9,2,6,1
25,0,2,0,0
294,4,15,9,1
182,2,15,8,1
247,1,1,4,0
255,1,1,0,0
638,6,21,1,1
567,5,16,3,1
80,1,3,2,0
151,1,2,6,0
226,0,2,2,0
164,2,0,8,1
214,1,2,1,0
616,3,8,7,1
144,8,27,10,1
668,9,1,5,1
206,3,1,1,0
446,1,0,2,0
475,1,7,7,1
101,1,0,0,0
637,4,7,9,1
908,2,27,9,1
205,0,0,2,0
280,2,3,2,0
51,3,3,0,0
148,2,0,2,0
423,10,5,6,1
60,1,3,0,0
239,2,1,4,0
835,5,18,10,1
260,8,5,4,1
161,6,16,4,1
404,1,2,6,0
680,4,8,0,1
67,2,0,0,0
470,2,0,3,0
98,8,16,2,1
143,9,27,4,1
959,2,30,6,1
131,1,2,4,0
78,2,3,2,0
281,1,2,1,0
172,2,0,4,1
55,2,0,1,0
138,0,3,2,0
29,0,1,2,0
172,0,0,3,0
213,1,3,0,0
230,3,14,7,1
159,1,8,0,0
187,4,28,9,1
219,0,0,0,0
108,1,4,0,0
544,1,15,5,1
898,8,27,8,1
794,4,1,0,1
865,2,27,7,1
163,3,5,9,1
110,5,0,1,0
213,1,0,0,0
261,1,3,0,0
860,5,16,6,1
895,5,21,4,1
247,8,8,8,1
240,0,0,2,0
240,1,0,2,0
150,1,10,1,0
415,6,29,6,1
994,9,20,1,1
830,8,5,10,1
92,3,29,10,1
162,9,4,10,1
225,2,8,2,0
164,2,0,0,0
93,0,3,2,0
633,1,19,2,1
205,1,0,2,0
465,6,12,6,1
162,2,3,1,0
199,5,17,2,1
453,6,8,7,1
258,1,1,1,0
282,4,26,6,1
181,1,4,3,0
800,3,15,3,1
803,0,16,5,1
464,5,0,2,0
178,2,0,2,0
742,6,23,6,1
425,0,2,1,0
802,4,10,4,1
786,8,9,0,1
519,4,0,4,1
678,9,16,3,1
224,2,3,2,0
281,1,4,2,0
45,0,1,2,0
503,5,20,6,1
832,4,25,7,1
878,2,4,7,1
339,5,19,9,1
749,8,26,9,1
871,8,6,6,1
606,2,21,0,1
997,6,6,7,1
495,0,2,6,0
951,3,16,1,1
45,2,0,1,0
106,2,0,6,0
959,9,28,10,1
40,2,1,1,0
49,2,3,2,0
255,2,26,1,1
865,9,5,3,1
422,2,1,0,0
80,3,13,6,1
396,1,15,0,1
297,1,8,2,0
167,2,3,4,0
224,0,3,2,0
691,7,26,10,1
750,2,13,6,1
441,0,3,2,0
189,2,26,1,1
213,7,7,2,1
739,3,5,1,1
124,1,1,2,0
192,2,3,2,0
326,1,2,0,0
197,3,3,2,0
269,1,3,3,0
134,5,3,10,1
719,9,2,8,1
497,1,8,1,0
281,2,1,1,0
29,0,2,0,0
736,2,25,5,1
792,2,18,3,1
103,4,0,2,0
252,2,0,0,0
58,4,3,2,0
577,3,19,5,1
996,8,7,7,1
92,0,3,0,0
160,1,1,2,0
151,2,3,6,0
164,10,16,8,1
162,2,4,0,0
96,2,0,1,0
96,0,1,6,0
290,0,0,2,0
139,2,10,0,0
171,1,7,0,0
178,1,2,2,0
316,3,3,5,1
305,8,12,4,1
471,6,5,5,1
209,0,2,1,0
486,9,27,3,1
127,2,10,1,0
242,0,3,0,0
233,1,2,0,0
85,9,0,7,1
468,1,4,1,0
554,5,7,6,1
165,1,1,1,0
266,1,3,0,0
994,8,16,0,1
836,1,0,7,1
268,5,5,6,1
390,2,3,6,0
709,4,0,3,1
946,7,16,10,1
77,7,4,1,1
41,0,3,2,0
279,0,1,0,0
715,2,14,7,1
297,2,13,7,1
924,8,15,10,1
165,0,1,1,0
142,8,16,1,1
198,1,3,0,0
738,3,2,8,1
382,4,1,6,0
889,9,11,6,1
662,5,6,7,1
73,2,2,0,0
162,4,1,4,0
52,0,2,2,0
245,2,1,2,0
977,3,5,6,1
204,2,0,2,0
435,0,1,2,0
34,2,1,0,0
195,1,2,2,0
438,8,26,8,1
79,4,25,6,1
223,0,0,1,0
156,3,3,0,0
336,3,3,4,0
88,4,0,1,0
31,0,3,1,0
374,10,30,5,1
659,1,13,5,1
720,5,12,2,1
42,1,3,1,0
180,1,1,2,0
501,7,7,5,1
134,5,1,0,0
172,2,8,4,0
387,3,19,3,1
63,1,6,0,0
173,0,9,0,0
130,2,0,0,0
306,5,8,0,0
162,2,1,1,0
484,9,7,10,1
288,2,2,2,0
361,0,3,0,0
326,3,10,5,0
860,3,23,5,1
673,1,19,3,1
103,2,25,7,1
130,7,2,6,1
139,6,3,7,1
900,9,6,6,1
99,1,0,2,0
116,1,5,0,0
209,1,2,2,0
398,2,3,4,0
119,4,4,3,1
923,2,17,1,1
57,0,1,1,0
515,3,2,3,1
702,2,4,7,1
210,2,6,3,1
157,1,2,0,0
60,0,9,4,0
168,3,21,3,1
53,0,1,1,0
641,1,8,7,1
243,1,1,5,0
352,2,0,5,0
981,3,13,7,1
299,0,2,0,0
41,0,1,2,0
170,2,11,10,1
310,0,2,8,1
443,0,0,1,0
156,1,3,2,0
613,2,10,9,1
912,2,3,5,1
414,5,2,7,1
629,9,21,1,1
118,1,1,2,0
111,2,7,3,1
257,2,1,0,0
316,8,11,8,1
102,2,0,2,0
117,1,3,2,0
45,0,0,5,0
356,10,17,4,1
82,1,3,2,0
944,10,15,6,1
112,3,12,3,1
818,6,7,0,1
121,3,3,5,1
165,2,3,0,0
799,9,1,8,1
88,1,25,10,1
253,2,3,2,0
23,0,1,6,0
313,1,10,2,0
311,1,8,5,1
174,7,12,10,1
938,2,6,9,1
275,8,1,6,1
811,8,27,10,1
148,2,0,1,0
309,0,26,8,1
114,0,2,0,0
823,4,7,10,1
245,0,1,2,0
368,2,26,9,1
143,8,30,6,1
717,5,30,4,1
212,0,0,2,0
137,0,3,1,0
814,0,7,9,1
76,4,0,2,0
694,2,16,7,1
549,1,18,7,1
653,6,21,2,1
215,2,0,4,0
394,9,5,5,1
130,3,13,5,1
651,9,11,10,1
893,9,6,10,1
37,1,2,2,0
560,9,11,0,1
248,4,10,1,0
30,0,1,1,0
845,9,28,5,1
927,1,21,5,1
252,1,2,2,0
955,6,10,8,1
199,2,22,4,1
180,8,30,9,1
244,0,1,1,0
359,2,1,0,0
341,2,19,8,1
629,7,29,10,1
930,0,5,7,1
652,8,3,6,1
183,5,2,0,0
280,2,2,2,0
333,3,5,4,1
908,2,29,9,1
832,8,2,10,1
401,0,1,0,0
245,5,28,7,1
764,3,13,3,1
214,1,2,3,0
781,8,22,2,1
897,8,25,2,1
221,1,4,1,0
695,3,25,10,1
682,3,13,10,1
186,0,2,1,0
284,1,3,0,0
77,2,5,3,1
432,9,29,10,1
147,1,3,0,0
23,1,2,0,0
703,9,27,3,1
420,2,20,5,1
773,7,1,4,1
39,0,4,0,0
532,9,15,10,1
140,2,0,1,0
97,2,2,2,0
140,10,21,9,1
317,2,0,2,0
371,3,8,6,0
464,7,9,9,1
74,1,1,1,0
131,0,3,2,0
200,1,18,6,1
1000,3,23,3,1
170,1,2,0,0
48,0,0,1,0
315,3,21,3,1
55,3,2,10,1
779,0,6,2,1
85,8,4,9,1
158,9,25,9,1
165,0,10,1,0
718,6,8,4,1
193,6,1,8,1
325,2,3,0,0
300,10,30,7,1
287,1,8,2,0
166,9,29,7,1
568,4,17,10,1
22,1,1,2,0
990,4,2,3,1
55,3,26,7,1
165,1,10,1,0
363,8,9,9,1
487,0,2,1,0
994,2,10,6,1
170,2,16,5,1
25,0,2,0,0
110,1,2,0,0
136,0,1,2,0
171,1,0,5,1
228,1,0,0,0
158,1,10,1,0
178,8,22,10,1
244,2,0,1,0
222,2,0,5,0
141,2,3,0,0
360,3,0,1,0
784,2,5,10,1
294,2,3,3,0
113,6,18,3,1
768,9,4,2,1
885,3,14,5,1
791,3,22,7,1
259,3,3,2,0
735,5,20,5,1
277,2,0,5,0
528,9,16,9,1
259,3,3,3,0
452,5,24,3,1
81,1,8,0,0
62,2,27,8,1
124,1,9,0,0
97,8,9,4,1
637,2,27,6,1
167,2,17,6,1
660,6,4,7,1
352,5,23,4,1
837,7,26,3,1
186,0,2,1,0
436,9,29,5,1
284,2,3,1,0
582,8,24,5,1
475,5,8,3,1
156,2,11,10,1
949,8,19,9,1
20,1,1,2,0
245,0,0,0,0
125,5,28,5,1
71,2,0,2,0
649,7,11,0,1
239,2,0,0,0
35,5,3,1,0
102,6,19,7,1
440,4,4,2,0
292,0,4,0,0
343,5,0,4,1
82,6,22,1,1
870,3,20,3,1
898,9,8,4,1
229,5,10,0,0
247,2,3,2,0
52,3,0,2,0
174,4,3,4,0
81,0,9,1,0
89,4,26,4,1
802,10,30,8,1
150,5,1,7,1
96,1,0,2,0
324,0,8,3,0
238,0,10,0,0
129,3,30,1,1
118,4,6,10,1
125,1,0,2,0
96,1,0,0,0
241,2,5,4,1
339,2,1,2,0
214,3,2,1,0
220,3,13,3,1
630,8,27,5,1
153,5,2,6,1
261,1,3,0,0
246,1,2,4,0
171,1,3,1,0
260,3,2,1,0
935,9,8,3,1
203,2,2,0,0
151,9,23,6,1
224,4,26,2,1
106,1,0,2,0
97,0,0,0,0
364,10,11,1,1
988,3,14,4,1
596,1,3,5,1
415,2,3,1,0
181,2,0,2,0
164,9,25,6,1
250,3,7,0,0
220,5,3,1,0
178,0,0,1,0
114,4,6,7,1
593,4,20,3,1
165,1,2,0,0
37,2,2,2,0
168,3,18,7,1
364,1,1,1,0
271,1,3,6,0
466,0,28,9,1
170,6,25,1,1
257,3,1,1,0
161,6,22,3,1
684,0,19,2,1
92,4,5,2,0
244,2,2,4,0
273,1,0,2,0
87,0,3,2,0
399,9,21,2,1
962,10,24,3,1
468,7,20,0,1
195,3,17,6,1
441,7,27,1,1
74,1,3,0,0
62,1,18,2,1
72,2,1,2,0
146,0,2,1,0
132,3,23,3,1
163,2,0,0,0
191,2,1,4,1
628,2,15,4,1
159,1,2,1,0
612,6,9,0,1
75,3,7,6,1
766,10,11,10,1
157,8,0,10,1
328,2,23,3,1
995,2,16,7,1
473,10,11,4,1
171,0,3,1,0
231,1,20,5,1
143,4,21,2,1
272,1,3,0,0
83,2,0,0,0
292,7,3,10,1
132,3,5,10,1
137,2,0,0,0
497,3,5,7,1
657,1,17,3,1
156,2,4,8,1
226,5,8,2,0
926,0,20,8,1
703,4,6,10,1
31,1,2,1,0
368,2,16,2,1
177,2,2,1,0
429,1,3,4,0
284,2,3,4,0
56,9,3,3,1
868,7,5,7,1
258,0,3,2,0
879,0,5,3,1
75,1,0,2,0
271,4,1,0,0
121,1,3,6,0
66,2,0,6,0
300,4,18,6,1
119,3,5,4,1
465,2,3,2,0
431,9,21,2,1
355,5,13,4,1
88,4,2,2,0
337,1,4,3,1
953,8,9,4,1
120,2,21,3,1
464,2,3,1,1
508,10,25,5,1
195,9,14,0,1
793,3,20,3,1
182,4,7,8,1
149,1,3,2,0
671,7,7,9,1
141,9,5,1,1
239,1,1,2,0
302,6,21,8,1
676,5,24,5,1
75,0,2,1,0
137,2,2,0,0
142,2,10,3,1
224,1,3,0,0
325,1,0,2,0
429,4,21,9,1
142,0,0,2,0
231,8,6,7,1
126,2,1,2,0
185,3,3,3,0
125,8,28,10,1
45,2,3,2,0
640,4,2,0,1
183,0,2,0,0
589,3,24,5,1
81,1,1,2,0
471,2,9,6,1
608,4,29,2,1
219,2,9,2,0
158,3,0,1,0
73,9,5,0,1
92,5,27,10,1
821,8,7,7,1
716,4,9,8,1
202,0,2,0,0
